sep=,
DeviceTag:,RF-2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-12-09 11:37:39.629 +0100,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 599385919, 6.552745342254639, -11.998514175415039, 113.95521545410156, 0.2862501, 0.047486305, -0.37712288, 0
2, 599402586, 6.355428218841553, -12.28547191619873, 113.80033874511719, 0.49411228, 0.13268347, -0.5100508, 0
3, 599419253, 6.166058540344238, -12.60523796081543, 113.61678314208984, 0.6886728, 0.20208773, -0.4121151, 0
4, 599435920, 5.998546600341797, -12.852149963378906, 113.36719512939453, 0.593468, 0.1552054, -0.35352516, 0
5, 599452587, 5.859395503997803, -12.95044994354248, 113.03888702392578, 0.44974774, 0.07707055, -0.26607895, 0
6, 599469254, 5.720755577087402, -12.89724349975586, 112.65702056884766, 0.55290854, -0.04859037, -0.21535397, 0
7, 599485921, 5.582764148712158, -12.783257484436035, 112.22501373291016, 0.69762653, -0.18413877, -0.097195625, 0
8, 599502588, 5.428149700164795, -12.671199798583984, 111.73271179199219, 0.72590655, -0.18214625, -0.06062603, 0
9, 599519255, 5.282356262207031, -12.655838966369629, 111.17845153808594, 0.742902, -0.09433176, -0.23618221, 0
10, 599535922, 5.138028621673584, -12.86290168762207, 110.56778717041016, 0.8577472, -0.25619406, -0.28317547, 0
11, 599552589, 4.990711688995361, -13.325200080871582, 109.90399932861328, 0.8593969, -0.36677656, -0.23648167, 0
12, 599569256, 4.837789535522461, -13.949966430664062, 109.21743774414062, 0.48066473, -0.29699686, 0.0014104843, 0
13, 599585923, 4.671359539031982, -14.57957649230957, 108.53407287597656, 0.10530141, -0.26515177, 0.28596306, 0
14, 599602590, 4.473643779754639, -15.13010025024414, 107.84217834472656, -0.032371815, -0.34725112, 0.47734165, 0
15, 599619257, 4.230123043060303, -15.638423919677734, 107.14740753173828, 0.1614421, -0.3502672, 0.30426407, 0
16, 599635924, 3.9611520767211914, -16.205717086791992, 106.43887329101562, 0.44322336, -0.32095277, 0.118076324, 0
17, 599652591, 3.704244375228882, -16.84308624267578, 105.69672393798828, 0.37071222, -0.35971394, -0.013871193, 0
18, 599669258, 3.4578700065612793, -17.459060668945312, 104.89666748046875, 0.17618513, -0.3509624, -0.12421608, 0
19, 599685925, 3.245469331741333, -17.981863021850586, 104.02786254882812, 0.11818956, -0.21651939, -0.20017815, 0
