sep=,
DeviceTag:,ST-3
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-12-10_14:33:40_194 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,296953427,-176.426392,-69.994225,179.647781,0.154830,0.005952,-0.021008,0
2,296970094,-176.604599,-69.719139,-179.963486,0.131931,-0.006942,0.146836,0
3,296986761,-176.582596,-69.476067,-179.635529,0.012150,0.098629,0.261271,0
4,297003428,-176.560760,-69.409492,-179.177704,-0.114964,0.291654,0.040303,0
5,297020095,-176.865234,-69.462708,-178.443100,-0.273636,0.383886,-0.273840,0
6,297036762,-177.630066,-69.540039,-177.499268,-0.201827,0.290664,-0.368204,0
7,297053429,-178.563461,-69.552925,-176.567291,0.030531,0.061860,-0.133740,0
8,297070096,-179.317841,-69.520370,-175.787567,0.258228,-0.049585,0.059677,0
9,297086763,-179.781769,-69.445213,-175.066727,0.306445,-0.045713,0.067244,0
10,297103430,179.900360,-69.329399,-174.377472,0.094723,0.054161,0.003708,0
11,297120097,179.486206,-69.211761,-173.698959,-0.083583,0.085625,-0.054426,0
12,297136764,178.937317,-69.109619,-173.065781,-0.118051,0.026903,0.031571,0
13,297153431,178.368317,-69.050102,-172.435120,-0.059336,-0.055963,0.102251,0
14,297170098,177.908157,-68.995430,-171.875717,0.022519,-0.073443,0.106753,0
15,297186765,177.579727,-68.927338,-171.297729,0.071792,-0.014543,0.067176,0
16,297203432,177.339890,-68.860558,-170.721634,0.054272,0.057521,-0.045477,0
17,297220099,177.098984,-68.794350,-170.160843,-0.014732,0.143437,-0.057967,0
18,297236766,176.802338,-68.735886,-169.598511,-0.036431,0.168018,0.011144,0
19,297253433,176.484375,-68.706703,-169.028214,-0.010131,0.191262,0.029242,0
20,297270100,176.253387,-68.672028,-168.477646,-0.012712,0.229392,0.003729,0
21,297286767,176.085205,-68.627312,-167.956345,-0.138777,0.286172,-0.031942,0
22,297303434,175.886063,-68.603676,-167.503418,-0.179042,0.308620,-0.066488,0
23,297320101,175.597916,-68.618126,-167.107956,-0.202354,0.276499,-0.104552,0
24,297336768,175.275345,-68.650085,-166.759186,-0.107988,0.198010,-0.091840,0
25,297353435,174.995712,-68.663376,-166.457581,-0.018850,0.165727,-0.033250,0
26,297370102,174.791748,-68.645111,-166.120224,0.061715,0.183888,0.006121,0
27,297386769,174.611816,-68.611282,-165.746475,0.025409,0.198373,0.050106,0
28,297403436,174.402893,-68.598999,-165.405579,-0.040354,0.204322,0.055106,0
29,297420103,174.125626,-68.627243,-165.122787,-0.094808,0.138904,-0.006766,0
30,297436770,173.799362,-68.663589,-164.873535,-0.042728,0.025612,0.003126,0
31,297453437,173.478775,-68.716011,-164.611526,0.090855,-0.124230,0.006319,0
32,297470104,173.253494,-68.742966,-164.319153,0.179096,-0.214896,-0.074162,0
33,297486771,173.155884,-68.700203,-164.013641,0.249747,-0.214017,-0.171917,0
34,297503438,173.195099,-68.610100,-163.664627,0.164523,-0.139709,-0.222834,0
35,297520105,173.299210,-68.500359,-163.253769,0.052154,-0.033896,-0.249195,0
36,297536772,173.433319,-68.387680,-162.814041,-0.077287,0.045365,-0.175552,0
37,297553439,173.502075,-68.270050,-162.393188,-0.142317,0.158727,-0.127634,0
38,297570106,173.473434,-68.175613,-162.050858,-0.068193,0.187964,-0.012865,0
39,297586773,173.268875,-68.081284,-161.803879,0.047113,0.124276,0.109877,0
40,297603440,172.941742,-68.033195,-161.603317,0.177750,0.050925,0.175004,0
41,297620107,172.555954,-68.072975,-161.354691,0.200671,-0.036343,0.092929,0
42,297636774,172.249329,-68.128716,-161.052414,0.127293,-0.092789,0.002421,0
43,297653441,172.085220,-68.113228,-160.707565,0.090272,-0.098935,-0.029284,0
44,297670108,172.028000,-68.075333,-160.340286,0.075783,-0.047858,0.010537,0
45,297686775,171.950623,-68.071480,-159.968063,0.073145,0.008712,0.046018,0
46,297703442,171.829544,-68.106041,-159.615646,0.125464,0.028304,0.056107,0
47,297720109,171.693909,-68.145844,-159.277466,0.075331,0.017445,0.056606,0
48,297736776,171.555923,-68.185448,-158.919189,0.030771,0.039354,-0.020920,0
49,297753443,171.404999,-68.221832,-158.518570,-0.022653,0.035894,-0.025496,0
50,297770110,171.267685,-68.248123,-158.144867,-0.004579,0.074719,0.079244,0
51,297786777,171.116821,-68.306099,-157.786743,0.061758,0.101445,0.069760,0
52,297803444,170.895111,-68.390923,-157.424255,0.086245,0.100650,0.000849,0
53,297820111,170.666260,-68.441765,-157.091858,0.099208,0.083314,0.091550,0
54,297836778,170.500900,-68.478210,-156.817825,0.068008,0.066734,0.229113,0
55,297853445,170.374588,-68.580284,-156.560699,-0.095299,0.072891,0.136840,0
56,297870112,170.204346,-68.729851,-156.291809,-0.139364,0.117035,-0.067280,0
57,297886779,169.987701,-68.853111,-156.031235,-0.097229,0.154741,-0.172357,0
58,297903446,169.712479,-68.915390,-155.823685,0.008360,0.120020,-0.112181,0
59,297920113,169.403000,-68.954819,-155.684784,0.120535,0.051151,0.078912,0
60,297936780,169.100449,-69.037651,-155.572525,0.162746,-0.044950,0.205854,0
61,297953447,168.800613,-69.211090,-155.405182,0.115334,-0.125729,0.051447,0
62,297970114,168.546478,-69.406273,-155.184799,0.115695,-0.165107,-0.139232,0
63,297986781,168.377136,-69.524521,-154.982513,0.120212,-0.137706,-0.179329,0
64,298003448,168.297195,-69.565041,-154.870834,0.183007,-0.109295,-0.036210,0
65,298020115,168.192917,-69.658508,-154.749359,0.191569,-0.059352,0.030503,0
66,298036782,167.981262,-69.816620,-154.603912,0.174092,-0.093871,-0.069000,0
67,298053449,167.695496,-69.957161,-154.477295,0.217117,-0.202167,-0.129142,0
68,298070116,167.403839,-70.066093,-154.367783,0.340993,-0.256742,-0.151306,0
69,298086783,167.217056,-70.107635,-154.241547,0.393146,-0.280566,-0.089830,0
70,298103450,167.143372,-70.108742,-154.102402,0.427606,-0.230663,-0.046637,0
71,298120117,167.090500,-70.139000,-153.914856,0.342589,-0.179491,-0.079657,0
72,298136784,167.038223,-70.164574,-153.739182,0.296106,-0.125972,-0.104712,0
73,298153451,166.987946,-70.149590,-153.654190,0.232523,-0.111881,0.000207,0
74,298170118,166.924759,-70.164818,-153.638443,0.115436,-0.150931,0.103050,0
75,298186785,166.840424,-70.235832,-153.596359,0.045459,-0.192076,0.029620,0
76,298203452,166.781113,-70.307564,-153.564224,0.079026,-0.164244,-0.094633,0
77,298220119,166.764587,-70.338600,-153.484741,0.160252,-0.111869,-0.132831,0
78,298236786,166.776642,-70.350693,-153.423813,0.245482,-0.063938,-0.031947,0
79,298253453,166.763000,-70.390572,-153.408722,0.267847,-0.049367,0.099655,0
80,298270120,166.655258,-70.504303,-153.364502,0.203612,-0.072044,0.107762,0
