sep=,
DeviceTag:,LF-3
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-12-10_14:33:40_192 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,296946016,-8.760918,-43.083981,50.485584,0.111001,-0.010666,-0.488495,0
2,296962683,-8.699639,-43.226948,50.665886,-0.297102,0.018576,-0.264247,0
3,296979350,-8.445655,-43.194817,50.722038,-0.649383,0.320385,-0.249778,0
4,296996017,-7.957144,-43.145855,50.381752,-0.248713,0.335439,-0.417488,0
5,297012684,-7.588319,-43.200481,50.042030,0.082261,-0.072549,-0.427641,0
6,297029351,-7.374865,-43.251579,49.915600,0.426974,-0.178817,-0.557732,0
7,297046018,-7.309979,-43.331608,49.959484,0.319943,-0.172504,-0.472989,0
8,297062685,-7.295208,-43.411976,50.070847,0.203010,-0.078206,-0.418756,0
9,297079352,-7.270925,-43.484745,50.228142,0.194533,0.042524,-0.376891,0
10,297096019,-7.211738,-43.550236,50.405785,0.300152,0.077754,-0.410491,0
11,297112686,-7.115525,-43.620754,50.595966,0.181001,0.000094,-0.409805,0
12,297129353,-7.022854,-43.702293,50.808624,0.125125,0.056231,-0.362103,0
13,297146020,-6.928998,-43.762402,51.036221,0.289900,0.206534,-0.397851,0
14,297162687,-6.766130,-43.810936,51.272530,0.240896,0.229499,-0.364476,0
15,297179354,-6.585991,-43.835270,51.504150,0.011254,0.260396,-0.353496,0
16,297196021,-6.435232,-43.854042,51.688808,-0.140981,0.193039,-0.413486,0
17,297212688,-6.303037,-43.873524,51.877262,-0.129426,0.122408,-0.368691,0
18,297229355,-6.118693,-43.879570,52.001480,-0.146278,0.095911,-0.464435,0
19,297246022,-5.949186,-43.907948,52.158920,-0.440051,0.148323,-0.342943,0
20,297262689,-5.844738,-43.932526,52.272625,-0.315833,0.241968,-0.448110,0
21,297279356,-5.692986,-43.952038,52.392651,-0.320719,0.248357,-0.435725,0
22,297296023,-5.571865,-43.972805,52.473724,-0.311789,0.267668,-0.440845,0
23,297312690,-5.471674,-43.979958,52.508808,-0.159153,0.233233,-0.496029,0
24,297329357,-5.329318,-43.983028,52.551743,-0.137936,0.174679,-0.511514,0
25,297346024,-5.190689,-43.985641,52.571419,-0.280560,0.165817,-0.441002,0
26,297362691,-5.067589,-43.996239,52.560574,-0.263507,0.152055,-0.439922,0
27,297379358,-4.935913,-44.008862,52.517673,-0.296996,0.129573,-0.383856,0
28,297396025,-4.822148,-44.026928,52.503609,-0.249982,0.143011,-0.392609,0
29,297412692,-4.718776,-44.042309,52.486130,-0.220517,0.101056,-0.394805,0
30,297429359,-4.609859,-44.062889,52.437950,-0.292817,0.064332,-0.392762,0
31,297446026,-4.550415,-44.086971,52.408432,-0.472485,-0.019144,-0.402143,0
32,297462693,-4.548038,-44.139069,52.396793,-0.536976,0.011051,-0.413877,0
33,297479360,-4.586138,-44.168243,52.374996,-0.509400,-0.009355,-0.457036,0
34,297496027,-4.663960,-44.210278,52.352074,-0.254774,-0.112237,-0.572146,0
35,297512694,-4.687202,-44.255768,52.382683,-0.047538,-0.190371,-0.579722,0
36,297529361,-4.672242,-44.316128,52.434196,-0.059131,-0.171316,-0.555581,0
37,297546028,-4.667151,-44.388756,52.481056,-0.035251,-0.103976,-0.508041,0
38,297562695,-4.646163,-44.468662,52.514301,0.014916,-0.085173,-0.422191,0
39,297579362,-4.591225,-44.542881,52.553375,0.025179,-0.034287,-0.388060,0
40,297596029,-4.537595,-44.618614,52.625862,0.047047,0.017187,-0.333974,0
41,297612696,-4.458223,-44.676235,52.700558,0.055106,0.037349,-0.373978,0
42,297629363,-4.363971,-44.741051,52.790245,-0.042715,0.043095,-0.376567,0
43,297646030,-4.287279,-44.813938,52.872341,-0.021706,0.169672,-0.339855,0
44,297662697,-4.204425,-44.864807,52.952728,-0.041725,0.181779,-0.425188,0
45,297679364,-4.138813,-44.931034,53.011108,-0.057794,0.210724,-0.388607,0
