sep=,
DeviceTag:,RF-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-12-10_14:33:40_181 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,816011983,-169.726395,-80.794746,74.173805,0.009780,0.008306,0.179654,0
2,816028650,-169.775528,-80.772018,74.395935,0.045383,0.039195,0.071196,0
3,816045317,-169.966949,-80.768456,74.778648,0.173695,0.178720,0.129086,0
4,816061984,-170.449448,-80.859703,75.399979,0.113352,0.197525,0.213882,0
5,816078651,-170.874146,-80.982803,76.008095,0.130202,0.093285,0.195633,0
6,816095318,-171.360275,-81.056709,76.690048,0.349715,0.128076,0.128566,0
7,816111985,-172.085236,-81.134766,77.533272,0.314853,0.130673,0.106463,0
8,816128652,-172.849579,-81.204048,78.417946,0.107694,0.038663,0.063438,0
9,816145319,-173.509552,-81.216957,79.210960,-0.018904,-0.063868,0.072658,0
10,816161986,-174.063873,-81.183075,79.935616,-0.035653,-0.122761,0.192389,0
11,816178653,-174.513992,-81.149651,80.572289,0.031237,-0.114078,0.274446,0
12,816195320,-174.876419,-81.152542,81.110931,0.079915,-0.046489,0.240270,0
13,816211987,-175.161530,-81.171028,81.569405,-0.002686,0.052147,0.131667,0
14,816228654,-175.461166,-81.186691,82.068741,-0.014941,0.095961,0.074028,0
15,816245321,-175.764206,-81.188957,82.575562,-0.105115,0.034364,0.036049,0
16,816261988,-176.069412,-81.184570,83.136459,-0.094808,0.005939,0.096372,0
17,816278655,-176.338089,-81.182564,83.678421,0.020287,-0.057415,0.146890,0
18,816295322,-176.581039,-81.193733,84.232643,0.093897,-0.021340,0.138199,0
19,816311989,-176.844452,-81.205154,84.801575,0.218513,0.017890,0.080070,0
20,816328656,-177.112854,-81.198692,85.341560,0.254484,-0.004557,0.073703,0
21,816345323,-177.398712,-81.178131,85.886650,0.235430,-0.009642,0.149593,0
22,816361990,-177.649902,-81.180046,86.374809,0.211424,0.060230,0.139803,0
23,816378657,-177.864838,-81.203911,86.799210,0.212489,0.146010,0.038073,0
24,816395324,-178.096741,-81.208618,87.224785,0.204178,0.169315,-0.061894,0
25,816411991,-178.336105,-81.188957,87.627846,0.166079,0.109229,-0.005876,0
26,816428658,-178.594345,-81.155800,88.053902,0.261414,0.089443,0.055988,0
27,816445325,-178.835480,-81.103401,88.433899,0.357757,0.033915,0.214405,0
28,816461992,-179.007874,-81.088310,88.725594,0.320643,0.052258,0.270081,0
29,816478659,-179.121658,-81.106316,88.923653,0.234749,0.123387,0.175218,0
30,816495326,-179.259048,-81.111046,89.133476,0.113118,0.193229,0.108687,0
31,816511993,-179.505508,-81.081345,89.485420,0.124810,0.096159,0.133820,0
32,816528660,-179.810867,-81.034088,89.892632,0.270193,-0.001896,0.198978,0
33,816545327,179.801422,-80.996452,90.357979,0.253235,-0.051680,0.234344,0
34,816561994,179.314911,-80.943146,90.932831,0.248976,-0.099501,0.281722,0
35,816578661,178.840576,-80.913902,91.474220,0.121950,-0.219234,0.295033,0
36,816595328,178.448746,-80.983498,91.953720,0.070426,-0.243409,0.101789,0
37,816611995,178.187500,-81.114738,92.285652,0.090339,-0.037744,-0.095066,0
38,816628662,177.995804,-81.214729,92.533836,0.009933,0.133134,-0.060396,0
39,816645329,177.794189,-81.250954,92.824089,-0.050592,0.117012,-0.089763,0
40,816661996,177.559875,-81.238838,93.170898,-0.007964,0.043041,-0.053693,0
41,816678663,177.365814,-81.224571,93.472275,-0.004129,0.046629,0.029133,0
42,816695330,177.210052,-81.200806,93.766335,0.070852,0.106805,0.070936,0
43,816711997,177.121445,-81.136406,93.982422,0.074613,0.082883,0.109295,0
44,816728664,177.076996,-81.082779,94.162941,0.019888,0.026199,0.174382,0
45,816745331,177.047821,-81.064690,94.347588,0.091550,0.070687,0.055284,0
46,816761998,177.002258,-81.028152,94.531982,0.123557,0.157814,0.059229,0
47,816778665,176.887741,-80.976746,94.808128,0.164457,0.131235,0.143790,0
48,816795332,176.752228,-80.922989,95.100861,0.223436,0.052811,0.235030,0
49,816811999,176.639435,-80.899292,95.358490,0.269351,0.094780,0.289428,0
50,816828666,176.571106,-80.895584,95.569534,0.282221,0.146507,0.165318,0
51,816845333,176.529266,-80.891464,95.730919,0.217967,0.199243,0.120198,0
52,816862000,176.449524,-80.898026,95.930794,0.184512,0.169960,0.107481,0
53,816878667,176.380890,-80.919525,96.105698,0.197961,0.225922,0.153700,0
54,816895334,176.300934,-80.939110,96.298370,0.197592,0.145724,0.148967,0
55,816912001,176.215027,-80.937424,96.491829,0.286786,0.103459,0.157309,0
56,816928668,176.200409,-80.959541,96.574715,0.239528,0.171184,0.247612,0
57,816945335,176.221909,-81.022812,96.631096,0.237799,0.190797,0.132492,0
58,816962002,176.251266,-81.072891,96.656265,0.282309,0.266300,0.017905,0
59,816978669,176.259399,-81.084076,96.676750,0.239940,0.211850,0.033643,0
60,816995336,176.193115,-81.076851,96.782570,0.215765,0.098426,0.072256,0
61,817012003,176.109863,-81.071617,96.874855,0.297893,0.093666,0.207226,0
62,817028670,176.013260,-81.103226,96.964211,0.193687,0.026134,0.248010,0
63,817045337,175.940582,-81.148605,97.025742,0.165970,0.028206,0.133308,0
64,817062004,175.897156,-81.183968,97.043259,0.050794,0.006870,0.027630,0
65,817078671,175.843445,-81.203217,97.068161,-0.020716,0.049334,0.050936,0
66,817095338,175.778824,-81.232727,97.123917,0.068321,0.097594,0.146017,0
67,817112005,175.683960,-81.263268,97.211250,0.115943,-0.007306,0.126645,0
68,817128672,175.567184,-81.297150,97.312035,0.144906,-0.050528,0.117029,0
69,817145339,175.403076,-81.324211,97.439400,0.006170,-0.150575,0.124942,0
70,817162006,175.248367,-81.358459,97.594940,-0.047943,-0.181440,0.155605,0
71,817178673,175.137375,-81.392784,97.721169,-0.024149,-0.138215,0.167759,0
72,817195340,175.081741,-81.444946,97.805565,0.000627,-0.137419,0.127734,0
73,817212007,175.045395,-81.512009,97.881203,0.002376,-0.045394,0.065502,0
74,817228674,174.996048,-81.570938,97.987404,-0.027814,0.028149,0.061361,0
75,817245341,174.938705,-81.601295,98.102287,0.029030,0.096814,0.093244,0
76,817262008,174.874283,-81.632149,98.224785,0.069266,0.052404,0.152427,0
77,817278675,174.831390,-81.682991,98.342392,0.194260,0.025235,0.156345,0
78,817295342,174.824020,-81.734146,98.408333,0.236481,0.063203,0.046564,0
79,817312009,174.857727,-81.761650,98.375069,0.186898,0.135906,0.042764,0
80,817328676,174.869888,-81.772041,98.367577,0.069161,0.109832,0.051128,0
81,817345343,174.852081,-81.773857,98.430260,0.179968,0.200143,0.122626,0
82,817362010,174.822693,-81.765938,98.469749,0.241168,0.143091,0.153167,0
83,817378677,174.758133,-81.773354,98.509972,0.202255,0.069345,0.177122,0
84,817395344,174.674362,-81.805229,98.577393,0.178792,0.083036,0.139984,0
85,817412011,174.558105,-81.829590,98.690544,0.190925,0.042284,0.083048,0
86,817428678,174.427704,-81.824043,98.804024,0.216919,-0.001885,0.127596,0
87,817445345,174.349152,-81.826294,98.847809,0.179458,0.027067,0.176701,0
88,817462012,174.312897,-81.862961,98.852852,0.083468,0.042287,0.139467,0
89,817478679,174.261002,-81.895912,98.882103,0.044906,0.093841,0.121482,0
90,817495346,174.161240,-81.922264,98.962158,-0.040386,-0.004346,0.143641,0
91,817512013,174.068146,-81.961296,99.075386,-0.013817,-0.038214,0.165783,0
92,817528680,174.031342,-82.001488,99.168747,0.065860,-0.010209,0.140344,0
93,817545347,174.054153,-82.020142,99.229248,0.181906,0.002130,0.115684,0
94,817562014,174.101135,-82.004982,99.211861,0.223649,0.015328,0.095289,0
95,817578681,174.118683,-81.974297,99.230949,0.223747,-0.008761,0.053967,0
96,817595348,174.107239,-81.925743,99.269257,0.324355,0.077412,0.102216,0
97,817612015,174.084442,-81.875954,99.300240,0.347712,0.078929,0.018662,0
98,817628682,174.034332,-81.829590,99.338539,0.339702,0.095962,-0.045649,0
99,817645349,173.938889,-81.769661,99.376190,0.274814,0.146909,0.006632,0
100,817662016,173.801590,-81.699654,99.447571,0.197762,0.065208,0.108912,0
101,817678683,173.648483,-81.618500,99.579407,0.261010,-0.026463,0.189557,0
102,817695350,173.512772,-81.546761,99.652763,0.257550,-0.070609,0.231174,0
103,817712017,173.397644,-81.519630,99.673454,0.098126,-0.048897,0.218954,0
104,817728684,173.296371,-81.517563,99.737663,-0.046512,-0.056568,0.120223,0
105,817745351,173.289001,-81.504105,99.775421,0.045233,-0.039323,0.058736,0
106,817762018,173.374969,-81.488304,99.687149,0.094343,0.018036,0.011289,0
107,817778685,173.489746,-81.469086,99.562469,0.027048,0.062557,-0.043957,0
108,817795352,173.633377,-81.411674,99.448425,0.090161,0.113966,0.081497,0
109,817812019,173.804459,-81.358170,99.299644,0.205857,0.067687,0.190914,0
110,817828686,173.983215,-81.338799,99.122833,0.241799,0.102775,0.152092,0
111,817845353,174.122177,-81.337624,98.986588,0.273703,0.221804,0.079326,0
112,817862020,174.238312,-81.315285,98.819519,0.259425,0.173476,0.074993,0
113,817878687,174.328873,-81.317078,98.676361,0.248435,0.133439,0.168538,0
114,817895354,174.457123,-81.343994,98.500130,0.319891,0.145304,0.179656,0
115,817912021,174.644257,-81.353691,98.216812,0.333177,0.196116,0.140516,0
